GAME_ID,SEASON,date,HOME_TEAM_ID,VISITOR_TEAM_ID,home_points,home_fg_pct,home_ft_pct,home_fg3_pct,home_ast,home_reb,away_points,away_fg_pct,away_ft_pct,away_fg3_pct,away_ast,away_reb,home_win,point_diff,total_points,home_team_name,away_team_name
42100141,2021,2022-04-17,1610612756,1610612740,110.0,0.538,0.762,0.357,25.0,35.0,99.0,0.379,0.692,0.391,20.0,55.0,1,11.0,209.0,Phoenix Suns,New Orleans Pelicans
42100171,2021,2022-04-16,1610612742,1610612762,93.0,0.382,0.765,0.281,17.0,34.0,99.0,0.434,0.87,0.318,15.0,53.0,0,-6.0,192.0,Dallas Mavericks,Utah Jazz
42100151,2021,2022-04-16,1610612763,1610612750,117.0,0.453,0.744,0.259,25.0,35.0,130.0,0.5,0.889,0.39,32.0,46.0,0,-13.0,247.0,Memphis Grizzlies,Minnesota Timberwolves
42100131,2021,2022-04-16,1610612755,1610612761,131.0,0.512,0.853,0.5,29.0,39.0,111.0,0.488,0.826,0.4,27.0,35.0,1,20.0,242.0,Philadelphia 76ers,Toronto Raptors
42100161,2021,2022-04-16,1610612744,1610612743,123.0,0.524,0.724,0.457,33.0,41.0,107.0,0.462,0.769,0.314,26.0,35.0,1,16.0,230.0,Golden State Warriors,Denver Nuggets
52100201,2021,2022-04-15,1610612739,1610612737,101.0,0.457,0.824,0.361,23.0,36.0,107.0,0.488,0.909,0.29,15.0,42.0,0,-6.0,208.0,Cleveland Cavaliers,Atlanta Hawks
52100211,2021,2022-04-15,1610612746,1610612740,101.0,0.412,0.647,0.25,20.0,45.0,105.0,0.489,0.52,0.273,20.0,54.0,0,-4.0,206.0,Los Angeles Clippers,New Orleans Pelicans
52100111,2021,2022-04-13,1610612737,1610612766,132.0,0.521,0.72,0.5,31.0,54.0,103.0,0.378,0.759,0.317,22.0,41.0,1,29.0,235.0,Atlanta Hawks,Charlotte Hornets
52100131,2021,2022-04-13,1610612740,1610612759,113.0,0.543,0.739,0.4,25.0,53.0,103.0,0.407,0.727,0.382,19.0,34.0,1,10.0,216.0,New Orleans Pelicans,San Antonio Spurs
52100101,2021,2022-04-12,1610612751,1610612739,115.0,0.536,0.667,0.321,33.0,43.0,108.0,0.446,0.85,0.346,26.0,40.0,1,7.0,223.0,Brooklyn Nets,Cleveland Cavaliers
52100121,2021,2022-04-12,1610612750,1610612746,109.0,0.434,0.622,0.4,19.0,49.0,104.0,0.436,0.741,0.457,19.0,39.0,1,5.0,213.0,Minnesota Timberwolves,Los Angeles Clippers
22101216,2021,2022-04-10,1610612751,1610612754,134.0,0.642,0.88,0.364,30.0,50.0,126.0,0.452,0.684,0.413,32.0,30.0,1,8.0,260.0,Brooklyn Nets,Indiana Pacers
22101217,2021,2022-04-10,1610612766,1610612764,124.0,0.539,0.714,0.545,34.0,48.0,108.0,0.447,0.615,0.348,25.0,43.0,1,16.0,232.0,Charlotte Hornets,Washington Wizards
22101218,2021,2022-04-10,1610612739,1610612749,133.0,0.543,0.706,0.5,39.0,48.0,115.0,0.443,0.781,0.4,27.0,41.0,1,18.0,248.0,Cleveland Cavaliers,Milwaukee Bucks
22101221,2021,2022-04-10,1610612745,1610612737,114.0,0.461,0.75,0.37,24.0,34.0,130.0,0.517,0.792,0.553,29.0,50.0,0,-16.0,244.0,Houston Rockets,Atlanta Hawks
22101223,2021,2022-04-10,1610612763,1610612738,110.0,0.382,0.63,0.319,27.0,45.0,139.0,0.545,1.0,0.375,34.0,56.0,0,-29.0,249.0,Memphis Grizzlies,Boston Celtics
22101226,2021,2022-04-10,1610612752,1610612761,105.0,0.46,0.833,0.349,32.0,48.0,94.0,0.391,0.909,0.286,27.0,43.0,1,11.0,199.0,New York Knicks,Toronto Raptors
22101227,2021,2022-04-10,1610612753,1610612748,125.0,0.495,0.857,0.397,33.0,48.0,111.0,0.426,0.75,0.38,20.0,47.0,1,14.0,236.0,Orlando Magic,Miami Heat
22101228,2021,2022-04-10,1610612755,1610612765,118.0,0.523,0.913,0.2,25.0,42.0,106.0,0.458,0.655,0.324,26.0,42.0,1,12.0,224.0,Philadelphia 76ers,Detroit Pistons
22101224,2021,2022-04-10,1610612750,1610612741,120.0,0.505,0.773,0.355,30.0,32.0,124.0,0.53,0.788,0.476,22.0,48.0,0,-4.0,244.0,Minnesota Timberwolves,Chicago Bulls
22101219,2021,2022-04-10,1610612742,1610612759,130.0,0.541,0.783,0.556,34.0,43.0,120.0,0.483,1.0,0.355,26.0,35.0,1,10.0,250.0,Dallas Mavericks,San Antonio Spurs
22101220,2021,2022-04-10,1610612743,1610612747,141.0,0.49,0.778,0.319,33.0,45.0,146.0,0.468,0.894,0.372,26.0,50.0,0,-5.0,287.0,Denver Nuggets,Los Angeles Lakers
22101222,2021,2022-04-10,1610612746,1610612760,138.0,0.557,0.857,0.514,34.0,57.0,88.0,0.378,0.556,0.265,17.0,40.0,1,50.0,226.0,Los Angeles Clippers,Oklahoma City Thunder
22101225,2021,2022-04-10,1610612740,1610612744,107.0,0.424,0.75,0.35,24.0,42.0,128.0,0.605,0.846,0.576,33.0,41.0,0,-21.0,235.0,New Orleans Pelicans,Golden State Warriors
22101229,2021,2022-04-10,1610612756,1610612758,109.0,0.408,0.733,0.298,27.0,50.0,116.0,0.526,0.733,0.538,26.0,40.0,0,-7.0,225.0,Phoenix Suns,Sacramento Kings
22101230,2021,2022-04-10,1610612757,1610612762,80.0,0.373,0.75,0.265,21.0,32.0,111.0,0.451,0.737,0.25,23.0,60.0,0,-31.0,191.0,Portland Trail Blazers,Utah Jazz
22101214,2021,2022-04-09,1610612755,1610612754,133.0,0.556,0.778,0.353,37.0,42.0,120.0,0.526,0.778,0.435,28.0,31.0,1,13.0,253.0,Philadelphia 76ers,Indiana Pacers
22101213,2021,2022-04-09,1610612763,1610612740,141.0,0.589,0.739,0.514,41.0,48.0,114.0,0.451,0.743,0.2,23.0,29.0,1,27.0,255.0,Memphis Grizzlies,New Orleans Pelicans
22101215,2021,2022-04-09,1610612759,1610612744,94.0,0.4,0.741,0.323,19.0,41.0,100.0,0.407,0.788,0.25,23.0,51.0,0,-6.0,194.0,San Antonio Spurs,Golden State Warriors
22101212,2021,2022-04-09,1610612746,1610612758,117.0,0.488,0.8,0.488,29.0,48.0,98.0,0.442,0.625,0.25,24.0,42.0,1,19.0,215.0,Los Angeles Clippers,Sacramento Kings
22101203,2021,2022-04-08,1610612765,1610612749,101.0,0.389,0.913,0.208,27.0,43.0,131.0,0.495,0.87,0.297,29.0,51.0,0,-30.0,232.0,Detroit Pistons,Milwaukee Bucks
22101204,2021,2022-04-08,1610612764,1610612752,92.0,0.507,0.765,0.321,21.0,37.0,114.0,0.466,0.8,0.41,27.0,42.0,0,-22.0,206.0,Washington Wizards,New York Knicks
22101205,2021,2022-04-08,1610612751,1610612739,118.0,0.467,0.952,0.375,30.0,45.0,107.0,0.488,0.792,0.296,19.0,31.0,1,11.0,225.0,Brooklyn Nets,Cleveland Cavaliers
22101206,2021,2022-04-08,1610612761,1610612745,117.0,0.458,0.957,0.241,20.0,41.0,115.0,0.531,0.792,0.345,24.0,41.0,1,2.0,232.0,Toronto Raptors,Houston Rockets
22101207,2021,2022-04-08,1610612748,1610612737,113.0,0.556,0.786,0.423,20.0,33.0,109.0,0.477,0.895,0.235,17.0,43.0,1,4.0,222.0,Miami Heat,Atlanta Hawks
22101208,2021,2022-04-08,1610612741,1610612766,117.0,0.537,0.8,0.542,25.0,31.0,133.0,0.605,1.0,0.475,34.0,38.0,0,-16.0,250.0,Chicago Bulls,Charlotte Hornets
22101209,2021,2022-04-08,1610612742,1610612757,128.0,0.532,0.774,0.444,25.0,51.0,78.0,0.373,0.75,0.219,20.0,29.0,1,50.0,206.0,Dallas Mavericks,Portland Trail Blazers
22101210,2021,2022-04-08,1610612762,1610612756,105.0,0.398,0.727,0.289,20.0,44.0,111.0,0.5,0.867,0.316,27.0,46.0,0,-6.0,216.0,Utah Jazz,Phoenix Suns
22101211,2021,2022-04-08,1610612747,1610612760,120.0,0.5,0.744,0.29,23.0,45.0,101.0,0.455,0.789,0.207,21.0,44.0,1,19.0,221.0,Los Angeles Lakers,Oklahoma City Thunder
22101196,2021,2022-04-07,1610612766,1610612753,128.0,0.522,0.741,0.353,29.0,56.0,101.0,0.4,0.769,0.313,27.0,43.0,1,27.0,229.0,Charlotte Hornets,Orlando Magic
22101197,2021,2022-04-07,1610612761,1610612755,119.0,0.495,0.778,0.455,22.0,41.0,114.0,0.493,0.84,0.528,26.0,37.0,1,5.0,233.0,Toronto Raptors,Philadelphia 76ers
22101198,2021,2022-04-07,1610612749,1610612738,127.0,0.505,0.714,0.368,27.0,48.0,121.0,0.494,0.737,0.42,30.0,44.0,1,6.0,248.0,Milwaukee Bucks,Boston Celtics
22101199,2021,2022-04-07,1610612750,1610612759,127.0,0.427,0.806,0.377,25.0,47.0,121.0,0.483,0.735,0.357,31.0,45.0,1,6.0,248.0,Minnesota Timberwolves,San Antonio Spurs
22101200,2021,2022-04-07,1610612740,1610612757,127.0,0.473,0.839,0.351,31.0,49.0,94.0,0.522,0.846,0.355,28.0,27.0,1,33.0,221.0,New Orleans Pelicans,Portland Trail Blazers
22101201,2021,2022-04-07,1610612743,1610612763,122.0,0.55,0.88,0.4,27.0,43.0,109.0,0.472,0.737,0.393,30.0,34.0,1,13.0,231.0,Denver Nuggets,Memphis Grizzlies
22101202,2021,2022-04-07,1610612744,1610612747,128.0,0.526,1.0,0.5,39.0,45.0,112.0,0.446,0.763,0.281,14.0,42.0,1,16.0,240.0,Golden State Warriors,Los Angeles Lakers
22101190,2021,2022-04-06,1610612765,1610612742,113.0,0.427,0.914,0.367,26.0,42.0,131.0,0.563,0.765,0.455,28.0,41.0,0,-18.0,244.0,Detroit Pistons,Dallas Mavericks
22101191,2021,2022-04-06,1610612752,1610612751,98.0,0.386,0.583,0.342,22.0,42.0,110.0,0.441,0.778,0.341,28.0,49.0,0,-12.0,208.0,New York Knicks,Brooklyn Nets
22101192,2021,2022-04-06,1610612737,1610612764,118.0,0.467,0.842,0.41,26.0,39.0,103.0,0.488,0.818,0.286,26.0,44.0,1,15.0,221.0,Atlanta Hawks,Washington Wizards
22101193,2021,2022-04-06,1610612741,1610612738,94.0,0.438,0.739,0.304,19.0,40.0,117.0,0.489,0.636,0.459,29.0,42.0,0,-23.0,211.0,Chicago Bulls,Boston Celtics
